PlayerName,SeasonStartYear,PPG,REB,AST,STL,BLK,TOV,TS%,PerformanceMetric,InflationAdjSalary,Team,Age,position
Giannis Antetokounmpo,2019,27.69,12.47,5.89,1.28,1.53,3.72,0.64,106.64,29895313,MIL,24,PF
Giannis Antetokounmpo,2020,29.48,13.59,5.62,0.97,1.05,3.65,0.61,106.4,31640691,MIL,25,PF
James Harden,2019,36.13,6.64,7.51,2.03,0.74,4.96,0.62,106.31,44189315,HOU,29,PG
James Harden,2020,34.34,6.56,7.53,1.84,0.88,4.53,0.63,105.33,47418265,HOU,30,SG
Giannis Antetokounmpo,2021,28.15,11.0,5.85,1.18,1.2,3.39,0.63,102.82,42909452,MIL,26,PF
Stephen Curry,2016,30.06,5.44,6.67,2.14,0.19,3.32,0.67,101.41,14891108,GSW,27,PG
Kevin Durant,2014,32.01,7.38,5.49,1.27,0.73,3.52,0.63,101.2,24861158,OKC,25,SF
Anthony Davis,2018,28.13,11.09,2.32,1.53,2.57,2.16,0.61,101.11,29907860,NOP,24,PF
LeBron James,2010,29.71,7.29,8.57,1.64,1.01,3.43,0.6,99.97,19711923,CLE,25,SF
Anthony Davis,2019,25.93,12.0,3.89,1.57,2.41,2.0,0.6,99.79,31341709,NOP,25,C
LeBron James,2013,26.79,8.03,7.25,1.7,0.88,2.97,0.64,99.14,24196202,MIA,28,PF
Stephen Curry,2021,31.98,5.48,5.76,1.22,0.13,3.38,0.65,99.02,49928610,GSW,32,PG
Russell Westbrook,2017,31.58,10.67,10.37,1.63,0.38,5.41,0.55,97.01,34232504,OKC,28,PG
LeBron James,2018,27.45,8.65,9.11,1.41,0.87,4.23,0.62,96.87,41925309,CLE,33,PF
Joel Embiid,2021,28.45,10.57,2.84,0.98,1.35,3.12,0.64,96.62,34440406,PHI,26,C
Karl-Anthony Towns,2020,26.46,10.8,4.37,0.94,1.2,3.14,0.64,96.23,33870189,MIN,24,C
Joel Embiid,2019,27.52,13.61,3.66,0.72,1.91,3.53,0.59,95.71,31817869,PHI,24,C
James Harden,2017,29.09,8.14,11.2,1.49,0.47,5.73,0.61,95.5,34232504,HOU,27,PG
Damian Lillard,2020,29.97,4.3,8.03,1.06,0.33,2.94,0.63,94.87,36351912,POR,29,PG
